indicatorId,geoUnit,year,value,qualifier,magnitude
EA.6T8.AG25T99,COM,2014,5.74592618125536,UIS_EST,
EA.6T8.AG25T99,COM,2021,3.31192526202224,UIS_EST,
EA.6T8.AG25T99,COM,2022,14.05617046356201,,
EA.6T8.AG25T99,CPV,2015,6.929999828338623,,
EA.6T8.AG25T99,CRI,2014,22.79000091552734,,
EA.6T8.AG25T99,CRI,2015,21.29999923706055,,
EA.6T8.AG25T99,CRI,2016,20.6299991607666,,
EA.6T8.AG25T99,CRI,2018,21.30999946594238,,
EA.6T8.AG25T99,CRI,2020,21.61000061035156,,
EA.6T8.AG25T99,CUB,2002,9.359999656677246,,
EA.6T8.AG25T99,CUB,2012,14.18000030517578,,
EA.6T8.AG25T99,CUB,2019,15.32876968383789,,
EA.6T8.AG25T99,CUW,2018,21.9363105690285,UIS_EST,
EA.6T8.AG25T99,CUW,2020,30.17000007629395,,
EA.6T8.AG25T99,CYM,2014,32.15999984741211,,
EA.6T8.AG25T99,CYM,2015,29.86000061035156,,
EA.6T8.AG25T99,CYP,2013,24.88999938964844,,
EA.6T8.AG25T99,CYP,2014,25.96999931335449,,
EA.6T8.AG25T99,CYP,2015,25.54999923706055,,
EA.6T8.AG25T99,CYP,2016,26.6200008392334,,
EA.6T8.AG25T99,CYP,2017,27.1771401334924,UIS_EST,
EA.6T8.AG25T99,CYP,2018,28.55999946594238,,
EA.6T8.AG25T99,CYP,2019,28.8715544418397,UIS_EST,
EA.6T8.AG25T99,CYP,2020,29.79999923706055,,
EA.6T8.AG25T99,CYP,2021,31.7849752031884,UIS_EST,
EA.6T8.AG25T99,CYP,2022,33.1645605040488,UIS_EST,
EA.6T8.AG25T99,CYP,2023,34.71650998308822,UIS_EST,
EA.6T8.AG25T99,CZE,2010,2.86714023728477,UIS_EST,
EA.6T8.AG25T99,CZE,2011,3.59428690293388,UIS_EST,
EA.6T8.AG25T99,CZE,2012,4.12966473571584,UIS_EST,
EA.6T8.AG25T99,CZE,2013,4.42498065938131,UIS_EST,
EA.6T8.AG25T99,CZE,2014,18.82999992370605,,
EA.6T8.AG25T99,CZE,2015,19.34000015258789,,
EA.6T8.AG25T99,CZE,2016,20.07999992370605,,
EA.6T8.AG25T99,CZE,2017,20.72999954223633,,
EA.6T8.AG25T99,CZE,2018,21.0019190637801,UIS_EST,
EA.6T8.AG25T99,CZE,2019,20.90999984741211,,
EA.6T8.AG25T99,CZE,2020,21.3851673811778,UIS_EST,
EA.6T8.AG25T99,CZE,2021,22.8479955978814,UIS_EST,
EA.6T8.AG25T99,CZE,2022,20.9734054015456,UIS_EST,
EA.6T8.AG25T99,CZE,2023,20.40747615797147,UIS_EST,
EA.6T8.AG25T99,DEU,2010,1.29211881332721,UIS_EST,
EA.6T8.AG25T99,DEU,2011,1.21879894449748,UIS_EST,
EA.6T8.AG25T99,DEU,2012,1.24101306362016,UIS_EST,
